LDC_V1_DEVICE_ID,LDC_DEVICE_ID,LDC_TIMESTAMP,c_mode,c_nokori,c_time,c_cancel
NR-E46CV1-K+A4700003,v2:00020701000ab77a@f172,00:38.0,"""3""","""00:30:00""","""00:30""","""0"""
NR-E46CV1-K+A4700003,v2:00020701000ab77a@f172,30:40.0,"""0""","""00:00:00""","""00:30""","""0"""
NR-E46CV1-K+A4700003,v2:00020701000ab77a@f172,34:02.0,"""3""","""00:30:00""","""00:30""","""0"""
NR-E46CV1-K+A4700003,v2:00020701000ab77a@f172,04:05.0,"""0""","""00:00:00""","""00:30""","""0"""
NR-E46CV1-K+A4700011,v2:00020701000ab790@1316,43:55.0,"""2""","""00:10:00""","""00:10""","""0"""
NR-E46CV1-K+A4700011,v2:00020701000ab790@1316,53:56.0,"""0""","""00:00:00""","""00:10""","""0"""
NR-E46CV1-K+A4700011,v2:00020701000ab790@1316,55:55.0,"""0""","""00:00:00""","""00:10""","""0"""
NR-E46CV1-K+A4700011,v2:00020701000ab790@1316,57:55.0,"""0""","""00:00:00""","""00:10""","""0"""
NR-E46CV1-K+A4700021,v2:00020701000a5830@3d80,48:05.0,"""3""","""00:45:00""","""00:45""","""0"""
NR-E46CV1-K+A4700021,v2:00020701000a5830@3d80,33:08.0,"""0""","""00:00:00""","""00:45""","""0"""
NR-E46CV1-K+A4700021,v2:00020701000a5830@3d80,42:28.0,"""1""","""00:10:00""","""00:10""","""0"""
NR-E46CV1-K+A4700021,v2:00020701000a5830@3d80,52:29.0,"""0""","""00:00:00""","""00:10""","""0"""
NR-E46CV1-K+A4700021,v2:00020701000a5830@3d80,52:49.0,"""0""","""FF:FF:FF""","""00:00""","""2"""
NR-E46CV1-K+A4700021,v2:00020701000a5830@3d80,21:36.0,"""3""","""00:45:00""","""00:45""","""0"""
NR-E46CV1-K+A4700021,v2:00020701000a5830@3d80,06:39.0,"""0""","""00:00:00""","""00:45""","""0"""
NR-E46CV1-K+A4700021,v2:00020701000a5830@3d80,34:39.0,"""3""","""00:44:59""","""00:45""","""0"""
NR-E46CV1-K+A4700021,v2:00020701000a5830@3d80,19:41.0,"""0""","""00:00:00""","""00:45""","""0"""
NR-E46CV1-K+A4700021,v2:00020701000a5830@3d80,35:47.0,"""2""","""00:15:00""","""00:15""","""0"""
NR-E46CV1-K+A4700021,v2:00020701000a5830@3d80,50:48.0,"""0""","""00:00:00""","""00:15""","""0"""
NR-E46CV1-K+A4700021,v2:00020701000a5830@3d80,51:15.0,"""3""","""00:45:00""","""00:45""","""0"""
NR-E46CV1-K+A4700021,v2:00020701000a5830@3d80,36:19.0,"""0""","""00:00:00""","""00:45""","""0"""
NR-E46CV1-K+A4700021,v2:00020701000a5830@3d80,27:08.0,"""3""","""00:45:00""","""00:45""","""0"""
NR-E46CV1-K+A4700021,v2:00020701000a5830@3d80,12:11.0,"""0""","""00:00:00""","""00:45""","""0"""
NR-E46CV1-K+A4700021,v2:00020701000a5830@3d80,49:19.0,"""3""","""00:44:59""","""00:45""","""0"""
NR-E46CV1-K+A4700021,v2:00020701000a5830@3d80,34:22.0,"""0""","""00:00:00""","""00:45""","""0"""
NR-E46CV1-K+A4700021,v2:00020701000a5830@3d80,40:21.0,"""3""","""00:45:00""","""00:45""","""0"""
NR-E46CV1-K+A4700021,v2:00020701000a5830@3d80,25:24.0,"""0""","""00:00:00""","""00:45""","""0"""
NR-E46CV1-K+A4700021,v2:00020701000a5830@3d80,31:00.0,"""3""","""00:45:00""","""00:45""","""0"""
NR-E46CV1-K+A4700021,v2:00020701000a5830@3d80,16:04.0,"""0""","""00:00:00""","""00:45""","""0"""
NR-E46CV1-K+A4700021,v2:00020701000a5830@3d80,40:06.0,"""3""","""00:45:00""","""00:45""","""0"""
NR-E46CV1-K+A4700021,v2:00020701000a5830@3d80,25:10.0,"""0""","""00:00:00""","""00:45""","""0"""
NR-E46CV1-K+A4700021,v2:00020701000a5830@3d80,09:19.0,"""3""","""00:45:00""","""00:45""","""0"""
NR-E46CV1-K+A4700021,v2:00020701000a5830@3d80,54:21.0,"""0""","""00:00:00""","""00:45""","""0"""
NR-E46CV1-K+A4700021,v2:00020701000a5830@3d80,08:35.0,"""3""","""00:45:00""","""00:45""","""0"""
NR-E46CV1-K+A4700021,v2:00020701000a5830@3d80,53:38.0,"""0""","""00:00:00""","""00:45""","""0"""
NR-E46CV1-K+A4700021,v2:00020701000a5830@3d80,04:00.0,"""3""","""00:45:00""","""00:45""","""0"""
